title,category
   조롱  독일 뤼디거  원숭이 취급에 발끈한 내로남불 재조명,World
    국가가 재산권 통제  국가화 계획시장 으로 간다 ,World
       랩터 이어 핵추진잠수함  오키나와 기항 공개,World
소련 국민차  모스크비치  부활  중국산  랑 똑같아 보인다 ,World
 피라미드  올라가 춤춘   대   머리채 잡히고 물벼락 ,World
 왕따 인싸  빈 살만  튀르키예 구세주로     억  통화스와프 논의 ,World
일본도 독일 꺾었는데 중국은    내부서 자조적 비판 목소리,World
확진자 폭발한     조여진 방역에 성난 민심 최고조,World
     정상회의 곳곳서 파열음 푸틴 입지도  흔들 ,World
 우리에게 해준 게 뭐야     푸틴  아르메니아서  굴욕 ,World
영문도 몰랐던  기내 액체 반입 금지  영국부터 사라진다,World
 르포   방역 최적화 라 쓰고  봉쇄 라 읽는  코로나 정책,World
 헤르손 내준 푸틴  전쟁 지면 종말   생명 위협 느낄만큼 두려워해 ,World
기시다  독일전 승리 일본 대표팀에  멋진 승리  열도 열광,World
 현대차   서 역대 최고 점유율     전망 ,World
  유세땐 어묵인데 대만 선거 후보들 채소 들고 찰칵  왜 ,World
코로나 규제 없애고 대박난  이곳  한국 관광객도 줄지었다,World
 같은 행성 맞냐      노마스크 월드컵 본 중국인들 뿔났다,World
애플 주가 어제는 올랐지만 정저우 공장 충격 견딜 수 있을까 ,World
    우크라 조기 패전 선호   존슨 주장 일축  완전 헛소리 ,World
 폭력사태    폭스콘  공장 떠나면    만원 지급 ,World
추수감사절 앞두고   명 사살    월마트 총기난사 용의자는 매장 매니저,World
 공급망 비상  애플   정저우 폭스콘 공장에 직원 파견,World
   방역 고삐 죄면서 경기부양 돈 풀기,World
영국 떠나 독립하려던 스코틀랜드  이번엔 대법원에 막혔다,World
 연임 시진핑  사회주의국 정상 연쇄 초청 북한은 언제 ,World
감염자 폭증에 결국 또 봉쇄 베이징서 재현된  패닉 바잉 ,World
 폭스콘  시위 벌인 신규 노동자에  즉시 떠나면    만원 줄게 ,World
 냉전 덕분    밀착 강화하는   유럽 경제,World
 푸틴 심각한 타격 생명 위협 느낄정도  러시아에 무슨일이 ,World
신규 감염자 역대 최다 중국  올봄  팬데믹 과 다른 점은,World
 봉쇄 그만  임금 내놔   대규모 시위에   폭스콘  퇴사시    만원  제안,World
정저우공장 시위 얼마나 심각하길래 애플도 직원 파견 종합 ,World
  코로나 감염자  년만에 최고 방역 고삐 풀렸나,World
푸틴  징집 가족 면담 거부 확산  계획된 자리 안 간다 ,World
    러시아  테러지원국   겨울 노린 공습 계속,World
 본선은 못 올랐지만     월드컵 실리 챙기기,World
   나발니에 썼던 노비촉처럼 러  화학무기 우려 ,World
위기의  기시다   백지 영수증  문제 인정    내년 초 국회 해산  소문도,World
우크라 전황  겨울에 바뀌나 러  우크라 인프라 시설 집중 타격,World
 폭력사태    폭스콘  공장 떠나면    만원 지급 ,World
추수감사절 앞두고   명 사살    월마트 총기난사 용의자는 매장 매니저,World
 공급망 비상  애플   정저우 폭스콘 공장에 직원 파견,World
   방역 고삐 죄면서 경기부양 돈 풀기,World
영국 떠나 독립하려던 스코틀랜드  이번엔 대법원에 막혔다,World
 연임 시진핑  사회주의국 정상 연쇄 초청 북한은 언제 ,World
감염자 폭증에 결국 또 봉쇄 베이징서 재현된  패닉 바잉 ,World
 폭스콘  시위 벌인 신규 노동자에  즉시 떠나면    만원 줄게 ,World
 냉전 덕분    밀착 강화하는   유럽 경제,World
 푸틴 심각한 타격 생명 위협 느낄정도  러시아에 무슨일이 ,World
신규 감염자 역대 최다 중국  올봄  팬데믹 과 다른 점은,World
 봉쇄 그만  임금 내놔   대규모 시위에   폭스콘  퇴사시    만원  제안,World
정저우공장 시위 얼마나 심각하길래 애플도 직원 파견 종합 ,World
  코로나 감염자  년만에 최고 방역 고삐 풀렸나,World
푸틴  징집 가족 면담 거부 확산  계획된 자리 안 간다 ,World
    러시아  테러지원국   겨울 노린 공습 계속,World
 본선은 못 올랐지만     월드컵 실리 챙기기,World
   나발니에 썼던 노비촉처럼 러  화학무기 우려 ,World
위기의  기시다   백지 영수증  문제 인정    내년 초 국회 해산  소문도,World
우크라 전황  겨울에 바뀌나 러  우크라 인프라 시설 집중 타격,World
 폭력사태    폭스콘  공장 떠나면    만원 지급 ,World
추수감사절 앞두고   명 사살    월마트 총기난사 용의자는 매장 매니저,World
 공급망 비상  애플   정저우 폭스콘 공장에 직원 파견,World
   방역 고삐 죄면서 경기부양 돈 풀기,World
영국 떠나 독립하려던 스코틀랜드  이번엔 대법원에 막혔다,World
 연임 시진핑  사회주의국 정상 연쇄 초청 북한은 언제 ,World
감염자 폭증에 결국 또 봉쇄 베이징서 재현된  패닉 바잉 ,World
 폭스콘  시위 벌인 신규 노동자에  즉시 떠나면    만원 줄게 ,World
 냉전 덕분    밀착 강화하는   유럽 경제,World
 푸틴 심각한 타격 생명 위협 느낄정도  러시아에 무슨일이 ,World
신규 감염자 역대 최다 중국  올봄  팬데믹 과 다른 점은,World
 봉쇄 그만  임금 내놔   대규모 시위에   폭스콘  퇴사시    만원  제안,World
정저우공장 시위 얼마나 심각하길래 애플도 직원 파견 종합 ,World
  코로나 감염자  년만에 최고 방역 고삐 풀렸나,World
푸틴  징집 가족 면담 거부 확산  계획된 자리 안 간다 ,World
    러시아  테러지원국   겨울 노린 공습 계속,World
 본선은 못 올랐지만     월드컵 실리 챙기기,World
